,non_circ,circ
566,107.0,703.0
567,98.0,248.0
568,117.0,1010.0
569,108.0,1130.0
570,103.0,1810.0
571,104.0,927.0
572,106.0,1271.0
573,101.0,202.0
574,107.0,247.0
575,100.0,976.0
576,107.0,407.0
577,107.0,495.0
578,114.0,130.0
579,106.0,536.0
580,103.0,297.0
581,104.0,303.0
582,105.0,231.0
583,112.0,1251.0
584,98.0,305.0
585,108.0,2338.0
586,105.0,3155.0
587,100.0,345.0
588,105.0,221.0
589,107.0,264.0
590,107.0,458.0
591,105.0,827.0
592,108.0,423.0
593,106.0,513.0
594,100.0,465.0
595,106.0,426.0
596,106.0,903.0
597,107.0,459.0
598,107.0,642.0
599,107.0,609.0
600,107.0,268.0
601,107.0,1941.0
602,103.0,283.0
603,75.0,421.0
604,104.0,264.0
605,108.0,1072.0
606,107.0,487.0
607,102.0,612.0
608,107.0,768.0
609,106.0,1474.0
610,102.0,863.0
611,107.0,1243.0
612,88.0,1167.0
613,101.0,253.0
614,104.0,533.0
615,106.0,537.0
616,104.0,9945.0
617,107.0,1577.0
618,107.0,193.0
619,107.0,330.0
620,107.0,659.0
621,107.0,632.0
622,104.0,314.0
623,104.0,1355.0
624,106.0,573.0
625,105.0,674.0
626,107.0,448.0
627,106.0,643.0
628,106.0,558.0
629,100.0,1106.0
630,105.0,384.0
631,103.0,1644.0
632,104.0,192.0
633,105.0,2532.0
634,102.0,358.0
635,109.0,210.0
636,104.0,331.0
637,105.0,143.0
638,107.0,225.0
639,104.0,2087.0
640,106.0,394.0
641,102.0,276.0
642,103.0,558.0
643,101.0,192.0
644,97.0,455.0
645,103.0,652.0
646,107.0,466.0
647,108.0,514.0
648,87.0,724.0
649,104.0,503.0
650,75.0,942.0
651,107.0,1619.0
652,103.0,582.0
653,104.0,487.0
654,104.0,1049.0
655,100.0,475.0
656,107.0,292.0
657,105.0,218.0
658,107.0,371.0
659,107.0,254.0
660,109.0,921.0
661,107.0,173.0
662,101.0,279.0
663,104.0,1075.0
664,108.0,307.0
665,107.0,351.0
666,108.0,2987.0
667,103.0,500.0
668,103.0,276.0
669,106.0,285.0
670,101.0,381.0
671,89.0,193.0
672,107.0,1749.0
673,107.0,298.0
674,107.0,262.0
675,102.0,1011.0
676,102.0,335.0
677,107.0,197.0
678,107.0,560.0
679,104.0,1031.0
680,106.0,156.0
681,102.0,213.0
682,104.0,513.0
683,103.0,2418.0
684,87.0,323.0
685,106.0,177.0
686,105.0,646.0
687,104.0,336.0
688,107.0,2336.0
689,107.0,192.0
690,94.0,614.0
691,112.0,745.0
692,108.0,991.0
693,108.0,401.0
694,92.0,669.0
695,105.0,277.0
696,105.0,456.0
697,107.0,610.0
698,107.0,1619.0
699,100.0,4676.0
700,109.0,465.0
701,107.0,152.0
702,101.0,331.0
703,103.0,814.0
704,107.0,384.0
705,107.0,390.0
706,107.0,346.0
707,103.0,1163.0
708,108.0,1419.0
709,107.0,513.0
710,105.0,246.0
711,107.0,1311.0
712,107.0,164.0
713,104.0,207.0
714,103.0,833.0
715,107.0,688.0
716,100.0,455.0
717,98.0,479.0
718,106.0,115.0
719,107.0,274.0
720,107.0,476.0
721,68.0,598.0
722,107.0,1129.0
723,102.0,149.0
724,105.0,509.0
725,99.0,405.0
726,103.0,516.0
727,104.0,2568.0
728,105.0,359.0
729,104.0,459.0
730,105.0,641.0
731,128.0,217.0
732,107.0,485.0
733,107.0,243.0
734,107.0,841.0
735,106.0,654.0
736,111.0,806.0
737,107.0,1536.0
738,98.0,608.0
739,104.0,156.0
740,95.0,536.0
741,107.0,591.0
742,107.0,250.0
743,107.0,2960.0
744,103.0,546.0
745,104.0,347.0
746,107.0,422.0
747,107.0,298.0
748,106.0,323.0
749,107.0,1246.0
750,102.0,160.0
751,94.0,657.0
752,103.0,597.0
753,107.0,486.0
754,107.0,295.0
755,94.0,183.0
756,106.0,769.0
757,104.0,592.0
758,104.0,595.0
759,106.0,329.0
760,107.0,1067.0
761,103.0,570.0
762,104.0,979.0
763,75.0,151.0
764,105.0,640.0
765,107.0,130.0
766,107.0,227.0
767,107.0,166.0
768,102.0,308.0
769,97.0,1794.0
770,107.0,576.0
771,104.0,3184.0
772,103.0,309.0
773,107.0,185.0
774,103.0,493.0
775,107.0,240.0
776,103.0,370.0
777,98.0,336.0
778,105.0,1063.0
779,106.0,511.0
780,113.0,1217.0
781,106.0,295.0
782,101.0,355.0
783,97.0,747.0
784,71.0,1486.0
785,107.0,242.0
786,111.0,1234.0
787,107.0,261.0
788,106.0,1194.0
789,110.0,1132.0
790,106.0,382.0
791,103.0,421.0
792,101.0,597.0
793,107.0,260.0
794,104.0,5110.0
795,104.0,1145.0
796,99.0,293.0
797,107.0,524.0
798,117.0,199.0
799,106.0,264.0
800,100.0,262.0
801,109.0,570.0
802,108.0,507.0
803,99.0,1086.0
804,106.0,4455.0
805,107.0,451.0
806,106.0,677.0
807,117.0,454.0
808,107.0,339.0
809,103.0,621.0
810,103.0,237.0
811,107.0,225.0
812,113.0,1340.0
813,96.0,616.0
814,100.0,672.0
815,109.0,952.0
816,103.0,374.0
817,108.0,532.0
818,103.0,330.0
819,94.0,304.0
820,107.0,288.0
821,107.0,194.0
822,102.0,386.0
823,107.0,297.0
824,107.0,592.0
825,109.0,399.0
826,107.0,1110.0
827,107.0,1315.0
828,107.0,473.0
829,104.0,1556.0
830,106.0,434.0
831,103.0,1246.0
832,103.0,282.0
833,107.0,752.0
834,106.0,724.0
835,109.0,589.0
836,107.0,712.0
837,104.0,393.0
838,107.0,626.0
839,100.0,312.0
840,105.0,527.0
841,109.0,611.0
